identity,scopus_id,doi,title,year,journal,original_query,narrower_query,sample_us_label,source_review,conflict,conflict_resolution,mixed,adjudicated,rationale,n_validated_reviews,evidence_ids,human_validated
doi:10.1007/s11191-020-00166-y,85095413499,10.1007/s11191-020-00166-y,"Behavioral Genetics, Population Genetics, and Genetic Essentialism: A Survey Experiment",2020,Science and Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11192-025-05262-w,85219038324,10.1007/s11192-025-05262-w,Fair credit? The impact of shared first authorship on academic career evaluation,2025,Scientometrics,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11196-021-09818-w,85101225981,10.1007/s11196-021-09818-w,Modelling Perjury: Between Trust and Blame,2022,International Journal for the Semiotics of Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-012-0201-z,84870291230,10.1007/s11199-012-0201-z,"Young Adults' Perceptions of Non-Forcible Sexual Activity: The Effects of Participant Gender, Respondent Gender, and Sexual Act",2012,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-014-0344-1,84894609353,10.1007/s11199-014-0344-1,Testing the Extent of the Gender Trap: College Students' Perceptions of and Reactions to Intimate Partner Violence,2014,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-016-0683-1,84989162307,10.1007/s11199-016-0683-1,Boys Don’t Work? On the Psychological Benefits of Showing Low Effort in High School,2017,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-017-0842-z,85029909741,10.1007/s11199-017-0842-z,Neoliberal Beliefs and Perceptions of Unintended Adolescent Pregnancy after Consensual or Forced Sex,2018,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-018-0903-y,85042450510,10.1007/s11199-018-0903-y,"Both Gender and Cohort Affect Perceptions of Forenames, but Are 25-Year-Old Standards Still Valid?",2018,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-018-0961-1,85053467772,10.1007/s11199-018-0961-1,Adolescents’ Endorsement of Communal and Agentic Conflict-Management Strategies with Friends and Romantic Partners,2019,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-019-01107-y,85077611422,10.1007/s11199-019-01107-y,Women’s and Men’s Evaluations of Lesbians and Gay Men and their Levels of Outness,2020,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-020-01137-x,85081386604,10.1007/s11199-020-01137-x,Associations between Physical Self-Concept and Anticipated Guilt and Shame: The Moderating Role of Gender,2020,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-020-01148-8,85083785799,10.1007/s11199-020-01148-8,Gender Bias in Student Evaluations of Teaching: Students’ Self-Affirmation Reduces the Bias by Lowering Evaluations of Male Professors,2021,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-020-01163-9,85085878555,10.1007/s11199-020-01163-9,A Religious Paradox: Can Priming Ideas of God Reduce Rape Victim Blame?,2021,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-020-01169-3,85086721004,10.1007/s11199-020-01169-3,How Female Disclosure Recipients React to Women Survivors: The Impact of Rape Acknowledgment and Rejection of Rape Myths,2021,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-020-01199-x,85094167956,10.1007/s11199-020-01199-x,Consequences of a Zero-Sum Perspective of Gender Status: Predicting Later Discrimination against Men and Women in Collaborative and Leadership Roles,2021,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-022-01323-z,85139179837,10.1007/s11199-022-01323-z,College Students’ Perceptions of Ambiguous Hook-ups Involving Alcohol Intoxication,2022,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-023-01383-9,85161613034,10.1007/s11199-023-01383-9,“Their Great Shame is Poverty”: Women Portrayed as Among the “Undeserving Poor” are Seen as Deserving Sexual Assault,2023,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-023-01393-7,85164454223,10.1007/s11199-023-01393-7,How We Talk to Kids: Adults Prefer Different Forms of Language for Children Based on Gender Expression,2023,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-023-01431-4,85173639133,10.1007/s11199-023-01431-4,Cloaked in Kindness: Bystander Responses to Witnessed Benevolent and Hostile Sexism,2023,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-023-01437-y,85178451176,10.1007/s11199-023-01437-y,Gender Categorization and Stereotypes Beyond the Binary,2024,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-024-01465-2,85202184990,10.1007/s11199-024-01465-2,Who Gets Canceled for Sexual Assault?: The Roles of Likeability and Tactic on Perceived Perpetrator Accountability,2024,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-024-01466-1,85189804981,10.1007/s11199-024-01466-1,Dangerous Motivations: Understanding How Marginalization Relates to Benevolent Sexism Through Threat Perceptions,2024,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-024-01506-w,85200418138,10.1007/s11199-024-01506-w,Gaming with a Feminist: Sexism and Perception of Sexist Incidents in Online Video Games,2024,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-025-01591-5,105011058451,10.1007/s11199-025-01591-5,Parental Leaves and Men’s Communality Advantage at Work,2025,Sex Roles,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11199-026-01672-z,105044996889,10.1007/s11199-026-01672-z,Breadwinner and Homemaker: A Vignette Survey Experimental Study of Urban Chinese Women’s Preferences for Marriage Partners,2026,Sex Roles,true,true,non_us,metadata,false,,false,false,Metadata identifies a non-US population or study setting; no US experimental sample is reported.,1,d90d71351a57ebacb8cb,false
doi:10.1007/s11205-016-1362-x,84969834433,10.1007/s11205-016-1362-x,Do You Prefer Having Much More or Slightly More than Others?,2017,Social Indicators Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11205-021-02774-9,85113190278,10.1007/s11205-021-02774-9,A Recast Framework for Welfare Deservingness Perceptions,2022,Social Indicators Research,true,true,us_explicit,metadata,false,,true,false,"Metadata directly identifies a US experimental population, setting, or findings attributed to Americans.",1,6eeb502da5800c1e85ae,false
doi:10.1007/s11205-023-03203-9,85175572874,10.1007/s11205-023-03203-9,"Misperceptions, Income Positions, and Attitudes Toward EU Inequality: A Cross-Country Survey Experiment",2024,Social Indicators Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11205-024-03372-1,85197852159,10.1007/s11205-024-03372-1,The Influence of Rating Scales and Question Attributes on the Validity and Reliability of Generalized Trust Scales,2024,Social Indicators Research,true,true,us_explicit,metadata,false,,false,false,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",2,adbe872932aee0695c4b|58eea89a0665e3489c84,false
doi:10.1007/s11205-024-03507-4,85217159689,10.1007/s11205-024-03507-4,Enhancing Institutional Trust: Evidence from an Experimental Study with Adolescents in Italy,2025,Social Indicators Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11205-026-03926-5,105048726829,10.1007/s11205-026-03926-5,"Who Are the Worst-Off? Objective, Subjective, and Preference-Based Approaches to Measure Older Adults’ Well-Being",2026,Social Indicators Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11205-026-03928-3,105048630242,10.1007/s11205-026-03928-3,Perceived Economic Inequality and Life Satisfaction: Evidence from a Survey Experiment,2026,Social Indicators Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-014-0217-3,84919926641,10.1007/s11211-014-0217-3,Raising the Question on ‘Who Should Get What?’ Again: On the Importance of Ideal and Existential Standards,2014,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-015-0256-4,84948582674,10.1007/s11211-015-0256-4,Using Factorial Surveys to Study Justice Perceptions: Five Methodological Problems of Attitudinal Justice Research,2015,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-016-0266-x,84969779558,10.1007/s11211-016-0266-x,The Impact of Unpunished Hate Crimes: When Derogating the Victim Extends into Derogating the Group,2016,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-019-00343-7,85072211631,10.1007/s11211-019-00343-7,Mind the Income Gaps? Experimental Evidence of Information’s Lasting Effect on Redistributive Preferences,2020,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-021-00370-3,85107882218,10.1007/s11211-021-00370-3,Getting Ratees to Accept Performance Feedback: A Relational Approach,2021,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-021-00380-1,85116769492,10.1007/s11211-021-00380-1,What’s in a Word? Just vs. Fair vs. Appropriate Earnings for Self and Others,2021,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-022-00389-0,85127597984,10.1007/s11211-022-00389-0,Deliberating Inequality: A Blueprint for Studying the Social Formation of Beliefs about Economic Inequality,2022,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-023-00429-3,85180649446,10.1007/s11211-023-00429-3,When is Affirmative Action Fair? Answers from a Hypothetical Survey Experiment,2024,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-025-00469-x,105034686182,10.1007/s11211-025-00469-x,They Work Hard for Their Money…or Do They? The Role of Meritocracy Beliefs on Evaluations of Pay Dispersion,2026,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-026-00476-6,105043400536,10.1007/s11211-026-00476-6,From Foundations of Justice Analysis to Current and Future Challenges,2026,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11211-026-00481-9,105047419842,10.1007/s11211-026-00481-9,"Justice, Inequality, and the Joy of Discovery: The Contributions of Guillermina Jasso to Social Justice Research",2026,Social Justice Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-013-9235-5,84896393086,10.1007/s11218-013-9235-5,A multi-dimensional model of the origins of attitude certainty: Teachers' attitudes toward attention-deficit/hyperactivity disorder,2014,Social Psychology of Education,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-015-9303-0,84941420982,10.1007/s11218-015-9303-0,Do teachers equate male and masculine with lower academic engagement? How students’ gender enactment triggers gender stereotypes at school,2015,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-017-9384-z,85021792061,10.1007/s11218-017-9384-z,Gender and ethnic stereotypes in student teachers’ judgments: a new look from a shifting standards perspective,2017,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-019-09525-2,85074359364,10.1007/s11218-019-09525-2,The ethnic match between students and teachers: evidence from a vignette study,2020,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-020-09550-6,85083053425,10.1007/s11218-020-09550-6,"Not stupid, but lazy? Psychological benefits of disruptive classroom behavior from an attributional perspective",2020,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-022-09727-1,85139129082,10.1007/s11218-022-09727-1,Automatic and controlled information processing in the context of students’ ethnic background and social status: An eye-tracking study,2022,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-023-09811-0,85164741684,10.1007/s11218-023-09811-0,"Nice, but not smart? Attributional backlash from displaying prosocial behavior in the classroom",2023,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-023-09822-x,85164490821,10.1007/s11218-023-09822-x,"Escalation effects in teacher perceptions of classroom behavior in a U.S. context: The intersecting roles of student race, gender, and behavior severity",2024,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-023-09823-w,85165181896,10.1007/s11218-023-09823-w,Joint effects of offset effort beliefs and biomedical causal attributions on pre-service teachers’ stigma of children with ADHD-related symptoms,2024,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-024-09904-4,85198941344,10.1007/s11218-024-09904-4,The effects of victims’ reactions on bystanders’ perceived severity and willingness to intervene during school bullying: A survey experiment study,2024,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-024-10001-9,85217708017,10.1007/s11218-024-10001-9,Detrimental effects of instructors’ fixed mindsets on students’ anticipated motivation and emotions in secondary and higher education,2025,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-025-10022-y,86000329078,10.1007/s11218-025-10022-y,Do growth mindsets reduce the big-fish-little-pond effect?,2025,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11218-026-10169-2,105028801540,10.1007/s11218-026-10169-2,Formation of teacher expectations: evidence from a factorial survey experiment manipulating student information,2026,Social Psychology of Education,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11229-012-0192-x,84874949778,10.1007/s11229-012-0192-x,Self-serving biases and public justifications in trust games,2013,Synthese,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11229-024-04544-9,85191157369,10.1007/s11229-024-04544-9,Reflective equilibrium in practice and model selection: a methodological proposal from a survey experiment on the theories of distributive justice,2024,Synthese,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11238-022-09901-z,85136527007,10.1007/s11238-022-09901-z,When are two portfolios better than one? A prospect theory approach,2023,Theory and Decision,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11238-025-10107-2,105030165702,10.1007/s11238-025-10107-2,On the role of personality traits in shaping responses to physician payment systems,2026,Theory and Decision,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-011-9138-4,84860699852,10.1007/s11292-011-9138-4,"When do people report crime to the police? Results from a factorial survey design in the Netherlands, 2010",2012,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-017-9287-1,85017479115,10.1007/s11292-017-9287-1,Punishment and solidarity? An experimental test of the educative-moralizing effects of legal sanctions,2017,Journal of Experimental Criminology,true,true,us_explicit,metadata,false,,false,false,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",2,321b2404289de94f39a1|74c752b090305d6733ef,false
doi:10.1007/s11292-017-9306-2,85030680668,10.1007/s11292-017-9306-2,Reluctant to embrace innocence: an experimental test of persevering culpability judgments on people’s willingness to support reintegration services for exonerees,2018,Journal of Experimental Criminology,true,true,unclear,metadata,false,,false,false,Respondents read randomly assigned exoneration stories and report culpability judgments and support for reintegration.,1,d0f24ff3bb85098f8087,false
doi:10.1007/s11292-018-9332-8,85047933174,10.1007/s11292-018-9332-8,The impact of license plate recognition technology (LPR) on trust in law enforcement: a survey-experiment,2019,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-018-9335-5,85047170366,10.1007/s11292-018-9335-5,Nobody gives a #%&!: a factorial survey examining the effect of criminological evidence on opposition to sex offender residence restrictions,2018,Journal of Experimental Criminology,true,true,us_explicit,metadata,false,,false,false,"Metadata directly identifies a US experimental population, setting, or findings attributed to Americans.",1,af169d2cf4a123c9e503,false
doi:10.1007/s11292-019-09358-1,85064836671,10.1007/s11292-019-09358-1,Turning the corner on procedural justice theory: exploring reverse causality with an experimental vignette in a longitudinal survey,2019,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-019-09360-7,85067057847,10.1007/s11292-019-09360-7,Framing innocence: an experimental test of the effects of wrongful convictions on public opinion,2020,Journal of Experimental Criminology,true,true,us_inferred,metadata,false,,false,false,Experiments test innocence framing in US criminal justice context.,2,fbfd2102b86ee6c5bb57|fdb61caa3841aef20eeb,false
doi:10.1007/s11292-019-09363-4,85068826704,10.1007/s11292-019-09363-4,"Compliance, noncompliance, and the in-between: causal effects of civilian demeanor on police officers’ cognitions and emotions",2019,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-019-09407-9,85078863162,10.1007/s11292-019-09407-9,Specifying the information effect: reference points and procedural justifications affect legal attitudes in four survey experiments,2021,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-020-09447-6,85092499524,10.1007/s11292-020-09447-6,Selling effective violence prevention policies to the public: a nationally representative framing experiment,2022,Journal of Experimental Criminology,true,true,us_inferred,metadata,false,,false,false,US violence-prevention policy and Republican respondents.,2,ec86f7607543c174d3d3|ebf91189df317b277233,false
doi:10.1007/s11292-020-09451-w,85099284233,10.1007/s11292-020-09451-w,The use of personal protective equipment (PPE) by police during a public health crisis: An experimental test of public perception,2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-020-09454-7,85099793982,10.1007/s11292-020-09454-7,"Crime trend perceptions, negative emotions, and public punitiveness: a survey experiment of information treatment",2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-020-09455-6,85100039866,10.1007/s11292-020-09455-6,Assessing the validity of white-collar crime definitions using experimental survey data,2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-021-09462-1,85102990168,10.1007/s11292-021-09462-1,Policing persons in behavioral crises: an experimental test of bystander perceptions of procedural justice,2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-021-09465-y,85106060165,10.1007/s11292-021-09465-y,Can the legal framework for prostitution influence the acceptability of buying sex?,2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-021-09467-w,85104555215,10.1007/s11292-021-09467-w,The effect of wrongful conviction rate on death penalty support: a research note,2022,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-021-09488-5,85118684632,10.1007/s11292-021-09488-5,"Remorse, perceived offender immorality, and lay sentencing preferences",2023,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09501-5,85126540481,10.1007/s11292-022-09501-5,Perceiving racial hate crimes: a power-relation perspective,2023,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09512-2,85131589111,10.1007/s11292-022-09512-2,False positives vs. false negatives: public opinion on the cost ratio in criminal justice risk assessment,2023,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09515-z,85131882113,10.1007/s11292-022-09515-z,Ransomware and the Robin Hood effect?: Experimental evidence on Americans’ willingness to support cyber-extortion,2023,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09518-w,85131578152,10.1007/s11292-022-09518-w,Extending the long arm of the law: punishment and rehabilitation as motives of public support for handling violent juvenile offenders as adults,2023,Journal of Experimental Criminology,false,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09523-z,85133260305,10.1007/s11292-022-09523-z,Is compassion the flip side of punitiveness? Incorporating COVID-19 crisis in experimental vignettes to examine support for visitation and vaccination in prison,2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09529-7,85136958459,10.1007/s11292-022-09529-7,The use of experimental vignettes in studying police procedural justice: a systematic review,2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-022-09533-x,85141383184,10.1007/s11292-022-09533-x,Reform we can agree on: public opinion on prosecutorial liability,2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09568-8,85164456474,10.1007/s11292-023-09568-8,Sentencing decisions around quantity thresholds: theory and experiment,2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09571-z,85159372551,10.1007/s11292-023-09571-z,Making the call: how does perceived race affect desire to call the police?,2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09572-y,85159142294,10.1007/s11292-023-09572-y,"Police sexual assault investigation training, impulsivity, and officer intentions to arrest and use procedural justice: a randomized experiment",2024,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09585-7,105001068201,10.1007/s11292-023-09585-7,Deterrent effects of sanction severity and the role of procedural justice in prison: a preregistered randomized vignette experiment,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09589-3,105001077495,10.1007/s11292-023-09589-3,Should police officers who use force against peaceful protesters be punished? A national experiment,2025,Journal of Experimental Criminology,true,true,us_explicit,metadata,false,,false,false,Experimental results directly attributed to Americans.,2,1e401465227c7aeb996a|2cc6d1ed300ba680b62b,false
doi:10.1007/s11292-023-09592-8,105001537612,10.1007/s11292-023-09592-8,Wait for backup or not? How police officers view their role when responding to an active shooter event,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-023-09607-4,85182649548,10.1007/s11292-023-09607-4,"Racial reckoning protests, the Capitol insurrection, and asymmetric social facts: A mixed-methods study of public opinion",2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09610-3,85185272128,10.1007/s11292-024-09610-3,Punitiveness toward social distancing deviance in the COVID-19 pandemic: Findings from two national experiments,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09621-0,85193916475,10.1007/s11292-024-09621-0,Beyond police apologies: Concrete plans of action increase the public’s willingness to cooperate with police,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09622-z,85194589428,10.1007/s11292-024-09622-z,"Police compliance with the social contract as an antecedent of police legitimacy, of satisfaction with the police, and of willingness to obey: findings from a two-stage vignette experiment",2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09625-w,85196196052,10.1007/s11292-024-09625-w,"Does the public want the police to stop, stopping? An experimental look at the impact of outcome data on public perceptions of police discretionary traffic stops",2025,Journal of Experimental Criminology,true,true,unclear,metadata,false,,false,false,Available metadata does not locate the experimental sample.,1,e26fc4a694b3c3abbbea,false
doi:10.1007/s11292-024-09626-9,85196632886,10.1007/s11292-024-09626-9,The mark of a felony conviction: How does the threat of a felony influence willingness to accept a plea?,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09633-w,85200155070,10.1007/s11292-024-09633-w,What is rape? Elements of rape and application of the criminal label,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09638-5,85202650914,10.1007/s11292-024-09638-5,"How October 7, 2023, changed fear and exposure to hate among Jewish members of universities: a research note",2026,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-024-09659-0,85211919642,10.1007/s11292-024-09659-0,Police recruitment through an intergroup communication lens: a randomized experiment,2026,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09660-1,85217183484,10.1007/s11292-025-09660-1,Framing the harms of wrongful convictions: how different narratives shape public opinion,2026,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09664-x,85218194181,10.1007/s11292-025-09664-x,Do direct and courtesy prison stigma hinder support for a startup business? A vignette experiment,2026,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09668-7,105000498079,10.1007/s11292-025-09668-7,"Texas attorneys recognize problematic eyewitness procedures, but plea away anyway",2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09671-y,105003777728,10.1007/s11292-025-09671-y,Most Americans do not like mass incarceration: penal sensibility in an era of declining punitiveness,2025,Journal of Experimental Criminology,true,true,us_explicit,metadata,false,,false,false,The survey population is explicitly identified as Americans.,1,4e9a40d3102baf83cdc6,false
doi:10.1007/s11292-025-09673-w,105004432185,10.1007/s11292-025-09673-w,Experimental evidence shows police leaders may make strategic decisions depending on visuals presented: results from a multi-armed survey experiment,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09682-9,105009925764,10.1007/s11292-025-09682-9,Is misconduct worse when a cop does it? Public perceptions of police misconduct,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1007/s11292-025-09692-7,105017076767,10.1007/s11292-025-09692-7,Police anti-corruption reforms and vigilantism: evidence from an experimental vignette study,2025,Journal of Experimental Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
