queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_authids,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,local_pdf_available,local_filenames,download_status,open_access_status,open_access_note,needed_material,fulltext_review_note,manual_download_url,acquired_from_url,top50_us_tied_pairs_separated_if_us,top50_total_ties_differentiated_if_us,distinct_tied_pairs_separated_if_us,new_top50_us_tied_pairs_if_us,potential_priority_weight,us_positive_scenario,manual_retrieval_status,manual_retrieval_note,new_pair_coverage_in_batch,tie_priority_position,tie_priority_batch
93,10,105010718991,105010718991.pdf,Good Enough? Public Perceptions of Success in Military Interventions,2025,International Studies Quarterly,10.1093/isq/sqaf051,https://doi.org/10.1093/isq/sqaf051,57188971604,Sarah R. Maxey,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1093/isq/sqaf051,,5,0,5,8,0.15263158,"Sarah R. Maxey: US 5→6, rank 40→32",,,4,47,5
83,9,85084494184,85084494184.pdf,Service professionals' response to volunteer involvement in service production,2020,Journal of Public Administration Research and Theory,10.1093/jopart/muz028,https://doi.org/10.1093/jopart/muz028,56689411500,Mette Kjærgaard Thomsen,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1093/jopart/muz028,,0,5,5,0,0.10638298,"Mette Kjærgaard Thomsen: US 0→1, rank 84→73",,,4,48,5
37,4,85084324260,85084324260.pdf,Men’s Overpersistence and the Gender Gap in Science and Mathematics,2019,Socius,10.1177/2378023118821836,https://doi.org/10.1177/2378023118821836,16305967100,Robb Willer,1,National longitudinal survey and diverse adult sample without countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1177/2378023118821836,,4,2,4,0,1.0,"Robb Willer: US 10→11, rank 4→4",,,3,49,5
7,1,85205594046,85205594046.pdf,Differences in misinformation sharing can lead to politically asymmetric sanctions,2024,Nature,10.1038/s41586-024-07942-8,https://doi.org/10.1038/s41586-024-07942-8,23095594600,David G. Rand,1,US Twitter data and 16-country pooled sources; survey-experiment countries not separately identified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.nature.com/articles/s41586-024-07942-8.pdf,,4,0,4,0,1.0,"David G. Rand: US 10→11, rank 4→4",,,2,50,5
18,2,85097264174,85097264174.pdf,Mapping the Production and Mobilization Functions of Collective Action,2020,Socius,10.1177/2378023120977722,https://doi.org/10.1177/2378023120977722,36775562800,Blaine G. Robbins,1,University students without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/2378023120977722,,7,0,7,13,1.0,"Blaine G. Robbins: US 6→7, rank 32→19",,,7,51,6
71,8,105034680050,105034680050.pdf,"Concerning, but do we need policy reform? An experimental analysis of public reactions to accurate statistics on deaths caused by police officers and medical professionals",2026,Journal of Experimental Criminology,10.1007/s11292-026-09735-7,https://doi.org/10.1007/s11292-026-09735-7,57211410814,Hunter M. Boehme,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://link.springer.com/content/pdf/10.1007/s11292-026-09735-7.pdf,,6,3,6,6,0.13043478,"Hunter M. Boehme: US 4→5, rank 46→40",,,6,52,6
94,10,105015105489,105015105489.pdf,Does civilian oversight impact police legitimacy?,2025,Pnas Nexus,10.1093/pnasnexus/pgaf267,https://doi.org/10.1093/pnasnexus/pgaf267,57220203816,Kaylyn Jackson Schiff,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://academic.oup.com/pnasnexus/advance-article-pdf/doi/10.1093/pnasnexus/pgaf267/64099368/pgaf267.pdf,,5,0,5,8,0.15263158,"Kaylyn Jackson Schiff: US 5→6, rank 40→32",,,5,53,6
84,9,85151429736,85151429736.pdf,Priming citizens to think about public participation initiatives: Does it impact their view of government?,2023,Scandinavian Political Studies,10.1111/1467-9477.12246,https://doi.org/10.1111/1467-9477.12246,56689411500,Mette Kjærgaard Thomsen,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-9477.12246,,0,5,5,0,0.10638298,"Mette Kjærgaard Thomsen: US 0→1, rank 84→73",,,5,54,6
8,1,85206618776,85206618776.pdf,Psychological Underpinnings of Partisan Bias in Tie Formation on Social Media,2024,Journal of Experimental Psychology General,10.1037/xge0001662,https://doi.org/10.1037/xge0001662,23095594600,David G. Rand,1,Partisan social-media experiment without country or named parties.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1037/xge0001662,,4,0,4,0,1.0,"David G. Rand: US 10→11, rank 4→4",,,4,55,6
22,3,85043332442,85043332442.pdf,Visual Information and Candidate Evaluations: The Influence of Feminine and Masculine Images on Support for Female Candidates,2018,Political Research Quarterly,10.1177/1065912917738579,https://doi.org/10.1177/1065912917738579,54881904100,Nichole M. Bauer,1,Candidate images and gender without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1065912917738579,,2,1,2,5,0.22222222,"Nichole M. Bauer: US 9→10, rank 9→4",,,2,56,6
62,7,84872322437,84872322437.pdf,Why commuting is no perfect solution: Preferences for different mobility forms in dual career couples,2012,Zeitschrift Fur Familienforschung,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84872322437,17345249500,Martin Abraham,1,No country is identified for the couples in the experiment.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,unknown,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84872322437,,0,2,2,0,0.05882353,"Martin Abraham: US 0→1, rank 84→73",,,2,57,6
60,6,84908021986,84908021986.pdf,Is ethnic discrimination due to distaste or statistics?,2014,Economics Letters,10.1016/j.econlet.2014.09.020,https://doi.org/10.1016/j.econlet.2014.09.020,55746145800,Stijn Baert,1,Ethnic hiring discrimination does not by itself locate employers.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,Only a one-page abstract was obtained; full article still required.,complete article,"The downloaded one-page PDF is an abstract, not the article. Returned to retrieval queue.",https://www.sciencedirect.com/science/article/pii/S0165176514003565,https://biblio.ugent.be/publication/5704419/file/5825059.pdf,0,2,2,0,0.05882353,"Stijn Baert: US 1→2, rank 73→64",,,2,58,6
3,1,85083672997,85083672997.pdf,Putting a number on preferences: How numerical attitudes are shaped by ideology and equivalency framing,2019,International Journal of Public Opinion Research,10.1093/ijpor/edy020,https://doi.org/10.1093/ijpor/edy020,25224644900,Rasmus Tue Pedersen,1,Numerical preferences without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1093/ijpor/edy020,,0,1,1,0,0.25,"Rasmus Tue Pedersen: US 1→2, rank 73→64",,,1,59,6
23,3,85064539825,85064539825.pdf,On the Meaning of Survey Reports of Roll-Call “Votes”,2019,American Journal of Political Science,10.1111/ajps.12430,https://doi.org/10.1111/ajps.12430,57217457882,Gregory A. Huber,1,Roll-call votes and Supreme Court without named country; these institutions are not unique to US.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://escholarship.org/content/qt8fn2717w/qt8fn2717w.pdf?t=pxcpha,,2,1,2,5,0.22222222,"Gregory A. Huber: US 9→10, rank 9→4",,,1,60,6
19,2,105008067194,105008067194.pdf,"Affect, Efficacy, and Protest Intentions: Testing a Multilevel, Dual-Pathway Model of Collective Action",2025,Social Psychology Quarterly,10.1177/01902725251331032,https://doi.org/10.1177/01902725251331032,36775562800,Blaine G. Robbins,1,random university sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/01902725251331032,,7,0,7,13,1.0,"Blaine G. Robbins: US 6→7, rank 32→19",,,7,61,7
85,9,105035149198,105035149198.pdf,Coproduction encouragement can backfire: evidence from randomized controlled trials,2026,International Public Management Journal,10.1080/10967494.2026.2648235,https://doi.org/10.1080/10967494.2026.2648235,56689411500,Mette Kjærgaard Thomsen,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.tandfonline.com/doi/pdf/10.1080/10967494.2026.2648235?needAccess=true,,0,5,5,0,0.10638298,"Mette Kjærgaard Thomsen: US 0→1, rank 84→73",,,5,62,7
24,3,85076027417,85076027417.pdf,Shifting standards: How voters evaluate the qualifications of female and male candidates,2020,Journal of Politics,10.1086/705817,https://doi.org/10.1086/705817,54881904100,Nichole M. Bauer,1,Candidate qualifications without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://repository.lsu.edu/polisci_pubs/50,,2,1,2,5,0.22222222,"Nichole M. Bauer: US 9→10, rank 9→4",,,2,63,7
63,7,84907487526,84907487526.pdf,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,2015,Social Science Research,10.1016/j.ssresearch.2014.08.017,https://doi.org/10.1016/j.ssresearch.2014.08.017,23982874600,Ulf Liebe,1,The methods article reports empirical studies without identifying sample countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1016/j.ssresearch.2014.08.017,,0,2,2,0,0.05882353,"Ulf Liebe: US 0→1, rank 84→73",,,2,64,7
61,7,85020188394,85020188394.pdf,A Bottom-Up Theory of Public Opinion about Foreign Policy,2017,American Journal of Political Science,10.1111/ajps.12314,https://doi.org/10.1111/ajps.12314,35492113000,Thomas Zeitzoff,1,Foreign policy topic without identifiable sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/ajps.12314,,0,2,2,0,0.05882353,"Thomas Zeitzoff: US 1→2, rank 73→64",,,2,65,7
4,1,85125441524,85125441524.pdf,Citizens' Aversion to Pay Raises for Politicians: The Risk of Self-Interest Matter More Than the Promise of Competence,2022,International Journal of Public Opinion Research,10.1093/ijpor/edab034,https://doi.org/10.1093/ijpor/edab034,25224644900,Rasmus Tue Pedersen,1,Politicians' salaries without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1093/ijpor/edab034,,0,1,1,0,0.25,"Rasmus Tue Pedersen: US 1→2, rank 73→64",,,1,66,7
26,3,85208657819,85208657819.pdf,How and when candidate race affects inferences about ideology and group favoritism,2025,Political Science Research and Methods,10.1017/psrm.2024.50,https://doi.org/10.1017/psrm.2024.50,57217457882,Gregory A. Huber,1,Candidate race without country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1017/psrm.2024.50,,2,1,2,5,0.22222222,"Gregory A. Huber: US 9→10, rank 9→4",,,1,67,7
31,4,84894591630,84894591630.pdf,With a little help from my friends: Bystander context and children's attitude toward peer helping,2014,Journal of Social Psychology,10.1080/00224545.2013.872595,https://doi.org/10.1080/00224545.2013.872595,7006059165,Maykel Verkuyten,1,The children's country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/00224545.2013.872595,,0,1,1,0,0.08333333,"Maykel Verkuyten: US 0→1, rank 84→73",,,1,68,7
65,7,85158001358,85158001358.pdf,Promoting Citizens' willingness to participate in coproduction in public service through information frames,2024,Public Administration,10.1111/padm.12932,https://doi.org/10.1111/padm.12932,57191360465,Jinfeng Zhang,1,Waste sorting experiments without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/padm.12932,,0,2,2,0,0.05882353,"Jinfeng Zhang: US 0→1, rank 84→73",,,1,69,7
72,8,77956761607,77956761607.pdf,Feeling good and doing good for the environment: The use of emotional appeals in pro- environmental public service announcements,2010,Applied Environmental Education and Communication,10.1080/1533015X.2010.510025,https://doi.org/10.1080/1533015X.2010.510025,57203655130,Kathleen Searles,1,Environmental appeals do not identify respondents' country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/1533015X.2010.510025,,0,1,1,0,0.0212766,"Kathleen Searles: US 3→4, rank 53→46",,,1,70,7
25,3,85101803291,85101803291.pdf,Candidate Aggression and Gendered Voter Evaluations,2022,Political Psychology,10.1111/pops.12737,https://doi.org/10.1111/pops.12737,54881904100,Nichole M. Bauer,1,Candidate aggression without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://digitalcommons.lsu.edu/manship_pubs/9,,2,1,2,5,0.22222222,"Nichole M. Bauer: US 9→10, rank 9→4",,,2,71,8
64,7,85049693637,85049693637.pdf,"Uncovering the Nexus Between Attitudes, Preferences, and Behavior in Sociological Applications of Stated Choice Experiments",2021,Sociological Methods and Research,10.1177/0049124118782536,https://doi.org/10.1177/0049124118782536,23982874600,Ulf Liebe,1,Ethical consumption experiment without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/0049124118782536,,0,2,2,0,0.05882353,"Ulf Liebe: US 0→1, rank 84→73",,,2,72,8
5,1,85196067903,85196067903.pdf,Online Abuse of Politicians: Experimental Evidence on Politicians’ Own Perceptions,2025,Political Behavior,10.1007/s11109-024-09944-8,https://doi.org/10.1007/s11109-024-09944-8,25224644900,Rasmus Tue Pedersen,1,Politicians from several government levels without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1007/s11109-024-09944-8,,0,1,1,0,0.25,"Rasmus Tue Pedersen: US 1→2, rank 73→64",,,1,73,8
27,3,105007228428,105007228428.pdf,Seeing the state in action: Public preferences about and judgments of common police–civilian interactions,2025,Criminology,10.1111/1745-9125.12403,https://doi.org/10.1111/1745-9125.12403,57217457882,Gregory A. Huber,1,Police-civilian interaction experiments without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1745-9125.12403,,2,1,2,5,0.22222222,"Gregory A. Huber: US 9→10, rank 9→4",,,1,74,8
32,4,84922551432,84922551432.pdf,In-group bias in children's intention to help can be overpowered by inducing empathy,2015,British Journal of Developmental Psychology,10.1111/bjdp.12065,https://doi.org/10.1111/bjdp.12065,7006059165,Maykel Verkuyten,1,No country is specified for the participating children.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjdp.12065,,0,1,1,0,0.08333333,"Maykel Verkuyten: US 0→1, rank 84→73",,,1,75,8
66,7,85215379642,85215379642.pdf,The impact of descriptive social norms on coproduction: How communication frames matter,2026,Public Management Review,10.1080/14719037.2025.2454502,https://doi.org/10.1080/14719037.2025.2454502,57191360465,Jinfeng Zhang,1,Coproduction experiments without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/14719037.2025.2454502,,0,2,2,0,0.05882353,"Jinfeng Zhang: US 0→1, rank 84→73",,,1,76,8
73,8,84995760092,84995760092.pdf,"It's a Mad, Mad World: Using Emotion Inductions in a Survey",2015,Journal of Experimental Political Science,10.1017/XPS.2015.5,https://doi.org/10.1017/XPS.2015.5,57203655130,Kathleen Searles,1,The student/adult emotion-induction studies do not specify country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1017/XPS.2015.5,,0,1,1,0,0.0212766,"Kathleen Searles: US 3→4, rank 53→46",,,1,77,8
78,8,85119058426,85119058426.pdf,Why Are Relatively Poor People Not More Supportive of Redistribution? Evidence from a Randomized Survey Experiment across Ten Countries†,2021,American Economic Journal Economic Policy,10.1257/pol.20190276,https://doi.org/10.1257/pol.20190276,57226018577,Christopher Hoy,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1257/pol.20190276,,0,1,1,0,0.0212766,"Christopher Hoy: US 1→2, rank 73→64",,,1,78,8
6,1,105019779764,105019779764.pdf,Public Budget Cuts: Political Communication Strategies and Citizen Reactions,2025,Political Studies,10.1177/00323217251382336,https://doi.org/10.1177/00323217251382336,25224644900,Rasmus Tue Pedersen,1,Budget cuts experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/00323217251382336,,0,1,1,0,0.25,"Rasmus Tue Pedersen: US 1→2, rank 73→64",,,0,79,8
33,4,84943817918,84943817918.pdf,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,2015,Social Development,10.1111/sode.12128,https://doi.org/10.1111/sode.12128,7006059165,Maykel Verkuyten,1,The child participants' country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/sode.12128,,0,1,1,0,0.08333333,"Maykel Verkuyten: US 0→1, rank 84→73",,,0,80,8
34,4,85113817293,85113817293.pdf,The effects of negative and positive information on attitudes towards immigration,2022,International Migration,10.1111/imig.12916,https://doi.org/10.1111/imig.12916,55091186500,Yoshikuni Ono,1,Immigration experiment without country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/imig.12916,,0,1,1,0,0.08333333,"Yoshikuni Ono: US 0→1, rank 84→73",,,1,81,9
74,8,85055564646,85055564646.pdf,Don’t read the comments: the effects of abusive comments on perceptions of women authors’ credibility,2020,Information Communication and Society,10.1080/1369118X.2018.1534985,https://doi.org/10.1080/1369118X.2018.1534985,57203655130,Kathleen Searles,1,Online abusive comments and journalist gender do not identify participant country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.tandfonline.com/doi/pdf/10.1080/1369118X.2018.1534985?needAccess=true,,0,1,1,0,0.0212766,"Kathleen Searles: US 3→4, rank 53→46",,,1,82,9
79,8,85125126673,85125126673.pdf,The correlates and dynamics of COVID-19 vaccine-specific hesitancy,2022,Vaccine,10.1016/j.vaccine.2022.02.033,https://doi.org/10.1016/j.vaccine.2022.02.033,15757402700,Peter John Loewen,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.ncbi.nlm.nih.gov/pmc/articles/8850099,,0,1,1,0,0.0212766,"Peter John Loewen: US 1→2, rank 73→64",,,1,83,9
35,4,85129159055,85129159055.pdf,Why do citizens prefer high-skilled immigrants to low-skilled immigrants? Identifying causal mechanisms of immigration preferences with a survey experiment,2022,Research and Politics,10.1177/20531680221091439,https://doi.org/10.1177/20531680221091439,55091186500,Yoshikuni Ono,1,Immigration experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1177/20531680221091439,,0,1,1,0,0.08333333,"Yoshikuni Ono: US 0→1, rank 84→73",,,0,84,9
75,8,85114860836,85114860836.pdf,Look Who’s Writing: How Gender Affects News Credibility and Perceptions of News Relevance,2022,Journalism and Mass Communication Quarterly,10.1177/10776990211042595,https://doi.org/10.1177/10776990211042595,57203655130,Kathleen Searles,1,Reporter gender and news credibility do not identify participant country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/10776990211042595,,0,1,1,0,0.0212766,"Kathleen Searles: US 3→4, rank 53→46",,,0,85,9
77,8,85138320659,85138320659.pdf,Is news for men?: Effects of women’s participation in news-making on audience perceptions and behaviors,2024,Journalism,10.1177/14648849221125412,https://doi.org/10.1177/14648849221125412,57203655130,Kathleen Searles,1,News avoidance and journalist gender do not identify respondent country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/14648849221125412,,0,1,1,0,0.0212766,"Kathleen Searles: US 3→4, rank 53→46",,,0,86,9
