scopus_id,doi,title,journal,families,phrases,phrase_fields,guards_in_same_field,eligibility
85059580483,10.1177/0022343318814114,A persuasive peace: Syrian refugees’ attitudes towards compromise and civil war termination,Journal of Peace Research,contextual_design,framing experiments,keywords,false,unreviewed
85177806461,10.1177/00380407231213342,My School District Isn’t Segregated: Experimental Evidence on the Effect of Information on Parental Preferences Regarding School Segregation,Sociology of Education,survey_information,information treatments,abstract,true,unreviewed
85127334475,10.1177/00986283211072742,Does the Instructors Gender Identity and Syllabus Design Affect Students Perceptions of Their Instructor?,Teaching of Psychology,text_assignment,randomly assigned to read,abstract,true,unreviewed
85063030326,10.1177/0193841X19834968,Speaking on Data’s Behalf: What Researchers Say and How Audiences Choose,Evaluation Review,text_assignment,randomly assigned to read,abstract,true,unreviewed
105049022237,10.1177/14707853261483758,Customisation as Innovation: Perceptions of Complexity and Value in Gifting,International Journal of Market Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85031419323,10.1177/1532673X17692326,Racial Attributions in the Justice System and Support for Punitive Crime Policies,American Politics Research,contextual_design,framing experiment,abstract,true,unreviewed
85094653113,10.1177/1556264620969327,Parent Ethical Concerns About Patient Feedback Measures to Improve Pediatric Clinical Care,Journal of Empirical Research on Human Research Ethics,text_assignment,randomly assigned to read,abstract,true,unreviewed
85097535412,10.1177/1556264620981205,Framing a Consent Form to Improve Consent Understanding and Determine How This Affects Willingness to Participate in HIV Cure Research: An Experimental Survey Study,Journal of Empirical Research on Human Research Ethics,text_assignment,randomized to read,abstract,true,unreviewed
85216078939,10.1177/20552076241313159,The engagement of healthcare providers in implementing the selfBACK randomised controlled trial – A mixed-methods process evaluation,Digital Health,vignette_survey,vignette-based survey,abstract,false,unreviewed
84926647827,10.1186/1472-6947-14-68,Values clarification in a decision aid about fertility preservation: Does it add to information provision?,BMC Medical Informatics and Decision Making,contextual_design,scenario-based experiments,abstract,true,unreviewed
85097003678,10.1192/bjp.2019.259,Effects of suicide awareness materials on individuals with recent suicidal ideation or attempt: Online randomised controlled trial,British Journal of Psychiatry,text_assignment,randomised to read,abstract,true,unreviewed
85104168488,10.1215/00703370-8932274,You know what i know: Interviewer knowledge effect in subjective expectation elicitation,Demography,survey_information,information treatment,abstract,true,unreviewed
85188598133,10.1371/journal.pclm.0000297,Systematic mapping of climate and environmental framing experiments and reanalysis with computational methods points to omitted interaction bias,Plos Climate,contextual_design,framing experiments,title,false,unreviewed
85190798144,10.1371/journal.pone.0302233,Effects of COVID-19 vaccine safety framing on parental reactions,Plos One,text_assignment,randomly assigned to receive information,abstract,true,unreviewed
105019181039,10.1371/journal.pone.0335205,Designing a deposit-refund system for cigarette butts: What do smokers care about?,Plos One,survey_information,information treatment,abstract,true,unreviewed
84893040982,10.1509/jm.12.0468,Learned helplessness among newly hired salespeople and the influence of leadership,Journal of Marketing,contextual_design,scenario-based experiment,abstract,true,unreviewed
85161644693,10.1542/peds.2022-059191,Targeted Vaccine Messaging to Promote COVID-19 Vaccines for Children and Youth,Pediatrics,text_assignment,randomly assigned to read,abstract,true,unreviewed
85123966933,10.2196/29691,Patients’ Perspectives on Transforming Clinical Trial Participation: Large Online Vignette-based Survey,Journal of Medical Internet Research,vignette_survey,vignette-based survey,title|abstract,true,unreviewed
85167575127,10.2196/41959,Effects of Prosocial and Hope-Promoting Communication Strategies on COVID-19 Worry and Intentions for Risk-Reducing Behaviors and Vaccination: Experimental Study,Jmir Formative Research,text_assignment,randomized to read,abstract,true,unreviewed
105001107075,10.2196/64266,Perceived Trust and Professional Identity Threat in AI-Based Clinical Decision Support Systems: Scenario-Based Experimental Study on AI Process Design Features,Jmir Formative Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85068381838,10.3389/fpsyg.2019.01022,Internalised weight stigma moderates the impact of a stigmatising prime on eating in the absence of hunger in higher- but not lower-weight individuals,Frontiers in Psychology,text_assignment,randomised to read,abstract,true,unreviewed
85115638996,10.3389/fpsyg.2021.730365,Why Not All the Powerful Abuse? The Competitive Effects of Psychological Distance and Self-Control,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
85118291069,10.3389/fpsyg.2021.749621,Instructional Set Moderates the Effect of GRE on Faculty Appraisals of Applicant Competence: A Vignette Study With Implications for Holistic Review,Frontiers in Psychology,text_assignment,randomly assigned to read,abstract,true,unreviewed
105016790277,10.3389/fpsyg.2025.1592148,Leader humility and employee proactivity: sequential affective mediation and the moderating effect of role breadth self-efficacy,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105033607878,10.3389/fpsyg.2026.1759683,Culture as a catalyst for regenerative co-creation: the role of yuanfen in driving customer voice through social bonds in P2P accommodation,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105031969092,10.3389/fpsyg.2026.1763335,How Machiavellian leadership affects employees' happiness at work: the role of psychological contract breach and coworker exchange,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105033272668,10.3389/fpsyg.2026.1793447,Inspiring impression motivation and fostering knowledge sharing behavior: Role of inclusive leadership for ostracized employees,Frontiers in Psychology,contextual_design,scenario-based experiments,abstract,true,unreviewed
105047992789,10.3389/fpsyg.2026.1854239,Different types of human–AI interaction and employees' knowledge territorial behavior: the role of organizational dehumanization and paradoxical leadership,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105048774769,10.3389/fpsyg.2026.1879844,When AI threatens future careers: a dual-appraisal model of university students’ career goal adjustment intentions,Frontiers in Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105025969177,10.3390/bs15121623,Changing Pre-Service Teachers’ Beliefs About Self-Regulated Learning: The Role of Refutational Texts and Instructional Analogies,Behavioral Sciences,text_assignment,randomly assigned to read,abstract,true,unreviewed
105031270748,10.3390/bs16020196,The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervisor Ostracism,Behavioral Sciences,contextual_design,scenario-based experiment,abstract,true,unreviewed
105031085438,10.3390/bs16020248,Shame or Anger? The Impact of Negative Performance Feedback Sources (AI Versus Leader) on Employees’ Job Crafting,Behavioral Sciences,contextual_design,scenario-based experiment,abstract,true,unreviewed
85063273738,10.3390/ijerph16060963,Research to move toward evidence-based recommendations for lead service line disclosure policies in home buying and home renting scenarios,International Journal of Environmental Research and Public Health,contextual_design,scenario-based experiment,keywords,false,unreviewed
85086908064,10.3390/ijerph17124526,Chronic regulatory focus and work-family conflict among chinese workers,International Journal of Environmental Research and Public Health,contextual_design,scenario-based experiment,abstract,true,unreviewed
85087616692,10.3390/ijerph17144984,Countering vaccine hesitancy among pregnant women in england: The case of Boostrix-IPV,International Journal of Environmental Research and Public Health,text_assignment,randomly assigned to read,abstract,true,unreviewed
85149942249,10.3390/ijerph20053950,How COVID-19 News Affect Older Adults’ Mental Health—Evidence of a Positivity Bias,International Journal of Environmental Research and Public Health,text_assignment,randomly assigned to read,abstract,true,unreviewed
105010269457,10.3390/nu17132217,What Is the Effect of Attributing Disordered Eating Behaviours to Food Addiction Versus Binge Eating Disorder? An Experimental Study Comparing the Impact on Weight-Based and Mental Illness Stigma,Nutrients,text_assignment,randomly assigned to read,abstract,true,unreviewed
85170386999,10.3390/su151712733,Intrinsic and Extrinsic Cue Words of Locally Grown Food Menu Items and Consumers’ Choice at Hyper-Local Restaurants: An Eye-Tracking Study,Sustainability Switzerland,text_assignment,randomly assigned to read,abstract,true,unreviewed
105043143139,10.3390/su18125950,Organizational Pro-Environmental Values and Employee Sustainable Behavior: Differentiated Motivational Pathways and the Moderating Role of Green Transformational Leadership,Sustainability Switzerland,contextual_design,scenario-based experiment,abstract,true,unreviewed
105045278975,10.3390/su18136714,Do Culturally Embedded Wayfinding Systems Enhance Cultural Sustainability? Evidence from a Scenario-Based Experiment in a High-Speed Railway Station,Sustainability Switzerland,contextual_design,scenario-based experiment,title,false,unreviewed
85176125172,10.3982/ECTA21004,The Effect of Macroeconomic Uncertainty on Firm Decisions,Econometrica,survey_information,information treatments,abstract,true,unreviewed
84932606263,10.4088/JCP.14m09110,Half of obsessive-compulsive disorder cases misdiagnosed: Vignette-based survey of primary care physicians,Journal of Clinical Psychiatry,vignette_survey,vignette-based survey,title|abstract,true,unreviewed
85058732702,10.4088/JCP.17m11975,Effect of educative suicide prevention news articles featuring experts with vs without personal experience of suicidal ideation: A randomized controlled trial of the papageno effect,Journal of Clinical Psychiatry,text_assignment,randomly assigned to read,abstract,true,unreviewed
105027532434,10.5334/ijc.1477,"Multiple Challenges in Mind, Biodiversity out of Sight: Insights on the Need for Structural Transformations",International Journal of the Commons,contextual_design,information-provision experiment,abstract,true,unreviewed
